,Match_ID,Team_ID,FK_Tot,FK_Ind,FK_Dir,FK_St,FK_Med,FK_Lg,FK_Cross,FK_Unsuccessful
441,2021682,50118,22,2,20,5,7,10,2,2
442,2021683,50139,11,0,11,1,5,5,0,0
443,2021683,1652,21,4,17,6,10,5,1,1
444,2021684,59856,8,3,5,4,2,2,0,1
445,2021684,52919,13,3,10,3,9,1,1,0
446,2021685,52914,13,0,13,3,5,5,0,0
447,2021685,50080,18,1,17,7,10,1,0,0
448,2021686,50037,15,1,14,5,7,3,1,0
449,2021686,50157,19,2,17,3,1,15,1,2
450,2021687,50064,10,0,10,2,6,2,0,0
451,2021687,7889,12,3,9,1,9,2,0,0
452,2021688,52714,23,1,22,10,11,2,0,0
453,2021688,52682,14,2,12,5,4,5,0,0
454,2021689,50051,16,0,16,6,8,2,0,1
455,2021689,52747,22,8,14,6,12,4,1,0
456,2021690,52707,12,2,10,5,3,4,0,1
457,2021690,50137,13,2,11,4,5,4,0,0
458,2021691,50080,23,4,19,5,13,5,1,0
459,2021691,52914,12,1,11,3,8,1,1,2
460,2021692,50157,14,1,13,3,9,2,1,1
461,2021692,50037,21,2,19,3,13,5,2,2
462,2021693,1652,15,2,13,4,7,4,0,0
463,2021693,50139,20,2,18,3,11,6,0,0
464,2021694,52919,17,3,14,3,12,2,1,1
465,2021694,59856,8,3,5,0,3,5,1,1
466,2021695,52747,17,5,12,4,11,2,1,0
467,2021695,50051,15,6,9,3,7,5,0,0
468,2021696,50137,13,2,11,2,6,5,0,1
469,2021696,52707,19,5,14,5,10,4,2,1
470,2021697,7889,14,1,13,4,8,2,1,1
471,2021697,50064,16,5,11,3,8,5,1,1
472,2021698,52682,11,1,10,3,5,3,1,0
473,2021698,52714,10,1,9,0,8,2,1,0
474,2021699,50080,8,0,8,2,6,0,0,0
475,2021699,50137,11,3,8,4,1,6,1,0
476,2021700,52714,12,3,9,5,3,4,1,1
477,2021700,50037,13,1,12,1,6,6,2,2
478,2021701,50139,16,0,16,5,9,2,1,1
479,2021701,50051,15,1,14,3,10,2,0,0
480,2021702,7889,14,4,10,3,2,9,2,2
481,2021702,52919,9,2,7,1,6,2,0,1
482,2021703,50051,21,2,19,6,11,4,4,5
483,2021703,50139,11,3,8,1,2,8,0,1
484,2021704,52919,7,0,7,3,1,3,2,2
485,2021704,7889,13,8,5,0,3,10,0,0
486,2021705,50137,13,3,10,2,8,2,0,1
487,2021705,50080,19,0,19,3,13,3,0,0
488,2021706,50037,13,1,12,1,5,7,1,1
489,2021706,52714,18,5,13,3,7,8,1,1
490,2021707,7889,10,3,7,1,5,4,0,0
491,2021707,50137,17,4,13,3,9,5,0,0
492,2021708,50037,20,6,14,5,11,4,2,2
493,2021708,50051,8,0,8,2,5,1,1,1
